Relatório de Memória de Massa;;;;;;
Descrição: UNIVERSIDADE FEDERAL TRIANG MINEIRO UFTM;;;;;;
Ponto de Medição: 3011467333;;Data de Emissão: 31/10/2018 - 14:23;;;;
Medidor: 22101013;;Data da Leitura: 31/10/2018 - 13:45;;;;
Data Inicial: 01/09/2018 - 00:00;;Data Final: 31/10/2018 - 23:00;;;;
Id;Data do registro;kW;kVARInd;kVARCap;Fator de Potência: ;Posto horário: 
8005;23/01/2019 - 09:00;231,315;55,86;0;0,97205791;Fora Ponta
8004;23/01/2019 - 08:45;230,475;55,23;0;0,97246767;Fora Ponta
8003;23/01/2019 - 08:30;229,11;55,33499999;0;0,97205066;Fora Ponta
8002;23/01/2019 - 08:15;217,98;53,55;0;0,97112501;Fora Ponta
8001;23/01/2019 - 08:00;209,37;53,65499999;0;0,96869682;Fora Ponta
8000;23/01/2019 - 07:45;209,37;53,86499999;0;0,9684628;Fora Ponta
7999;23/01/2019 - 07:30;202,86;52,08;0;0,96858959;Fora Ponta
7998;23/01/2019 - 07:15;202,335;52,39499999;0;0,96806917;Fora Ponta
7997;23/01/2019 - 07:00;199,185;51,555;0;0,96809783;Fora Ponta
7996;23/01/2019 - 06:45;196,875;50,71499999;0;0,96838606;Fora Ponta
7995;23/01/2019 - 06:30;191,52;51,345;0;0,9658913;Fora Ponta
7994;23/01/2019 - 06:15;177,345;49,035;0;0,96383607;Fora Ponta
7993;23/01/2019 - 06:00;162,225;47,355;0;0,95993734;Fora Ponta
7992;23/01/2019 - 05:45;149,835;45,57;0;0,95673069;Fora Ponta
7991;23/01/2019 - 05:30;138,81;41,79;0;0,95754673;Fora Ponta
7990;23/01/2019 - 05:15;128,52;39,165;0;0,9565697;Fora Ponta
7989;23/01/2019 - 05:00;122,01;38,22;0;0,95427517;Fora Ponta
7988;23/01/2019 - 04:45;116,97;38,22;0;0,95054377;Fora Ponta
7987;23/01/2019 - 04:30;114,45;37,58999999;0;0,95006866;Fora Ponta
7986;23/01/2019 - 04:15;111,3;38,01;0;0,94633653;Fora Ponta
7985;23/01/2019 - 04:00;113,715;38,64;0;0,94683134;Fora Ponta
7984;23/01/2019 - 03:45;116,025;42,735;0;0,93837211;Fora Ponta
7983;23/01/2019 - 03:30;119,805;43,785;0;0,9392394;Fora Ponta
7982;23/01/2019 - 03:15;118,44;43,155;0;0,93957435;Fora Ponta
7981;23/01/2019 - 03:00;116,76;42,20999999;0;0,94043376;Fora Ponta
7980;23/01/2019 - 02:45;115,92;42;0;0,94019062;Fora Ponta
7979;23/01/2019 - 02:30;116,025;42,945;0;0,9378204;Fora Ponta
7978;23/01/2019 - 02:15;115,815;42,21;0;0,93954447;Fora Ponta
7977;23/01/2019 - 02:00;117,705;42,525;0;0,94050177;Fora Ponta
7976;23/01/2019 - 01:45;118,335;43,36499999;0;0,93893913;Fora Ponta
7975;23/01/2019 - 01:30;120,225;43,57499999;0;0,9401525;Fora Ponta
7974;23/01/2019 - 01:15;120,435;43,155;0;0,94138858;Fora Ponta
7973;23/01/2019 - 01:00;121,59;43,785;0;0,94085633;Fora Ponta
7972;23/01/2019 - 00:45;123,165;43,47;0;0,94299033;Fora Ponta
7971;23/01/2019 - 00:30;123,69;44,83499999;0;0,94014245;Fora Ponta
7970;23/01/2019 - 00:15;126,63;45,25499999;0;0,94167122;Fora Ponta
7969;23/01/2019 - 00:00;129,045;44,94;0;0,94437233;Fora Ponta
7968;22/01/2019 - 23:45;131,985;44,205;0;0,94822971;Fora Ponta
7967;22/01/2019 - 23:30;137,34;46,19999999;0;0,94781016;Fora Ponta
7966;22/01/2019 - 23:15;138,285;45,78;0;0,94933004;Fora Ponta
7965;22/01/2019 - 23:00;134,19;45,045;0;0,94801356;Fora Ponta
7964;22/01/2019 - 22:45;136,395;44,94;0;0,94977432;Fora Ponta
7963;22/01/2019 - 22:30;139,65;47,14499999;0;0,94746529;Fora Ponta
