Relatório de Memória de Massa;;;;;;
Descrição: UNIVERSIDADE FEDERAL TRIANG MINEIRO UFTM;;;;;;
Ponto de Medição: 3011467333;;Data de Emissão: 28/01/2019 - 08:28;;;;
Medidor: 22101013;;Data da Leitura: 28/01/2019 - 07:30;;;;
Data Inicial: 01/11/2018 - 00:00;;Data Final: 25/01/2019 - 23:00;;;;
Id;Data do registro;kWh;kVARhInd;kVARhCap;Fator de Potência: ;Posto horário: 
5437;26/02/2018 - 15:00;188,79;53,86499999;0;0,96162479;Fora Ponta
5436;26/02/2018 - 14:45;193,305;54,285;0;0,96275734;Fora Ponta
5435;26/02/2018 - 14:30;190,995;53,44499999;0;0,96300799;Fora Ponta
5434;26/02/2018 - 14:15;191,625;55,23;0;0,96088558;Fora Ponta
5433;26/02/2018 - 14:00;189;53,445;0;0,96226681;Fora Ponta
5432;26/02/2018 - 13:45;183,75;51,03;0;0,96353368;Fora Ponta
5431;26/02/2018 - 13:30;182,07;51,24;0;0,96260571;Fora Ponta
5430;26/02/2018 - 13:15;174,825;50,08499999;0;0,96132761;Fora Ponta
5429;26/02/2018 - 13:00;172,2;50,715;0;0,95926298;Fora Ponta
5428;26/02/2018 - 12:45;166,425;50,29499999;0;0,95724254;Fora Ponta
5427;26/02/2018 - 12:30;161,385;48,51;0;0,9576718;Fora Ponta
5426;26/02/2018 - 12:15;161,49;47,67;0;0,959087;Fora Ponta
5425;26/02/2018 - 12:00;167,055;49,34999999;0;0,95902887;Fora Ponta
5424;26/02/2018 - 11:45;168,735;49,76999999;0;0,95914662;Fora Ponta
5423;26/02/2018 - 11:30;173,775;50,39999999;0;0,96042137;Fora Ponta
5422;26/02/2018 - 11:15;181,545;51,975;0;0,96137693;Fora Ponta
5421;26/02/2018 - 11:00;183,33;51,765;0;0,96237209;Fora Ponta
5420;26/02/2018 - 10:45;177,66;50,925;0;0,96128776;Fora Ponta
5419;26/02/2018 - 10:30;176,61;50,925;0;0,96085284;Fora Ponta
5418;26/02/2018 - 10:15;176,61;48,93;0;0,96369827;Fora Ponta
